file,total bibls,m-level,j-level,a-level,s-level,u-level
2212-5019_beh_fulltextxml_COM-1030060.xml,14,14,0,0,0,0
2212-5019_beh_fulltextxml_COM-1030070.xml,46,24,11,11,0,0
2212-5019_beh_fulltextxml_COM-1030080.xml,11,9,1,1,0,0
2212-5019_beh_fulltextxml_COM-1030090.xml,28,20,4,4,0,0
2212-5019_beh_fulltextxml_COM-1030100.xml,50,30,10,10,0,0
2212-5019_beh_fulltextxml_COM-1030110.xml,31,29,1,1,0,0
2212-5019_beh_fulltextxml_COM-1030120.xml,22,18,2,2,0,0
2212-5019_beh_fulltextxml_COM-1030130.xml,21,19,1,1,0,0
2212-5019_beh_fulltextxml_COM-1030140.xml,25,15,5,5,0,0
2212-5019_beh_fulltextxml_COM-1030150.xml,6,4,1,1,0,0
2212-5019_beh_fulltextxml_COM-1030160.xml,46,28,9,9,0,0
2212-5019_beh_fulltextxml_COM-1030170.xml,14,14,0,0,0,0
2212-5019_beh_fulltextxml_COM-1030180.xml,45,21,12,12,0,0
2212-5019_beh_fulltextxml_COM-1030190.xml,34,30,2,2,0,0
2212-5019_beh_fulltextxml_COM-1030200.xml,8,8,0,0,0,0
2212-5019_beh_fulltextxml_COM-1030210.xml,16,10,3,3,0,0
2212-5019_beh_fulltextxml_COM-1030220.xml,10,6,2,2,0,0
2212-5019_beh_fulltextxml_COM-1030230.xml,6,4,1,1,0,0
2212-5019_beh_fulltextxml_COM-1030240.xml,12,10,1,1,0,0
2212-5019_beh_fulltextxml_COM-1030250.xml,8,6,1,1,0,0
2212-5019_beh_fulltextxml_COM-1030260.xml,37,11,13,13,0,0
2212-5019_beh_fulltextxml_COM-1030270.xml,20,18,1,1,0,0
2212-5019_beh_fulltextxml_COM-1030280.xml,12,8,2,2,0,0
2212-5019_beh_fulltextxml_COM-1030290.xml,25,21,2,2,0,0
2212-5019_beh_fulltextxml_COM-1030300.xml,14,6,4,4,0,0
2212-5019_beh_fulltextxml_COM-1030310.xml,2,2,0,0,0,0
2212-5019_beh_fulltextxml_COM-1030320.xml,18,10,4,4,0,0
2212-5019_beh_fulltextxml_COM-1030330.xml,14,4,5,5,0,0
2212-5019_beh_fulltextxml_COM-1030340.xml,13,11,1,1,0,0
2212-5019_beh_fulltextxml_COM-2010010.xml,36,18,9,9,0,0
2212-5019_beh_fulltextxml_COM-2010020.xml,10,8,1,1,0,0
2212-5019_beh_fulltextxml_COM-2020010.xml,87,47,20,20,0,0
2212-5019_beh_fulltextxml_COM-2020020.xml,44,24,10,10,0,0
2212-5019_beh_fulltextxml_COM-2020030.xml,38,28,5,5,0,0
2212-5019_beh_fulltextxml_COM-2020040.xml,106,60,23,23,0,0
2212-5019_beh_fulltextxml_COM-2020050.xml,87,53,17,17,0,0
2212-5019_beh_fulltextxml_COM-2020060.xml,103,65,19,19,0,0
2212-5019_beh_fulltextxml_COM-2020070.xml,37,31,3,3,0,0
2212-5019_beh_fulltextxml_COM-2020080.xml,33,19,7,7,0,0
2212-5019_beh_fulltextxml_COM-2020090.xml,24,22,1,1,0,0
2212-5019_beh_fulltextxml_COM-2020100.xml,35,31,2,2,0,0
2212-5019_beh_fulltextxml_COM-2020110.xml,144,60,42,42,0,0
2212-5019_beh_fulltextxml_COM-2020120.xml,61,47,7,7,0,0
2212-5019_beh_fulltextxml_COM-2020150.xml,38,34,2,2,0,0
2212-5019_beh_fulltextxml_COM-2020160.xml,39,27,6,6,0,0
2212-5019_beh_fulltextxml_COM-2030010.xml,1,1,0,0,0,0
2212-5019_beh_fulltextxml_COM-2030030.xml,24,24,0,0,0,0
2212-5019_beh_fulltextxml_COM-2030040.xml,127,83,22,22,0,0
2212-5019_beh_fulltextxml_COM-2030050.xml,44,40,2,2,0,0
2212-5019_beh_fulltextxml_COM-2030060.xml,24,24,0,0,0,0
2212-5019_beh_fulltextxml_COM-2030070.xml,31,27,2,2,0,0
2212-5019_beh_fulltextxml_COM-2030080.xml,15,13,1,1,0,0
2212-5019_beh_fulltextxml_COM-2040010.xml,78,60,9,9,0,0
2212-5019_beh_fulltextxml_COM-2040020.xml,72,58,7,7,0,0
2212-5019_beh_fulltextxml_COM-2040030.xml,1,1,0,0,0,0
2212-5019_beh_fulltextxml_COM-2040040.xml,17,13,2,2,0,0
2212-5019_beh_fulltextxml_COM-2040050.xml,56,36,10,10,0,0
2212-5019_beh_fulltextxml_COM-2040060.xml,38,28,5,5,0,0
2212-5019_beh_fulltextxml_COM-2040070.xml,7,7,0,0,0,0
2212-5019_beh_fulltextxml_COM-2040080.xml,24,16,4,4,0,0
2212-5019_beh_fulltextxml_COM-2040090.xml,1,1,0,0,0,0
2212-5019_beh_fulltextxml_COM-2040100.xml,34,32,1,1,0,0
2212-5019_beh_fulltextxml_COM-2050010.xml,18,16,1,1,0,0
2212-5019_beh_fulltextxml_COM-2050020.xml,24,24,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050030.xml,27,15,6,6,0,0
2212-5019_beh_fulltextxml_COM-2050040.xml,3,3,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050050.xml,11,7,2,2,0,0
2212-5019_beh_fulltextxml_COM-2050060.xml,14,12,1,1,0,0
2212-5019_beh_fulltextxml_COM-2050070.xml,12,12,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050080.xml,6,6,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050090.xml,32,16,8,8,0,0
2212-5019_beh_fulltextxml_COM-2050100.xml,8,8,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050110.xml,29,19,5,5,0,0
2212-5019_beh_fulltextxml_COM-2050120.xml,14,10,2,2,0,0
2212-5019_beh_fulltextxml_COM-2050130.xml,7,7,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050140.xml,8,8,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050150.xml,29,23,3,3,0,0
2212-5019_beh_fulltextxml_COM-2050160.xml,21,17,2,2,0,0
2212-5019_beh_fulltextxml_COM-2050170.xml,6,6,0,0,0,0
2212-5019_beh_fulltextxml_COM-2050180.xml,45,25,10,10,0,0
